悪	ác
落	Lạc 
rơi xuống

流	Lưu 
dòng chảy 
hạ lưu

旅	Lữ 
du lịch
lữ hành

両	Lưỡng 
2 bên 
lưỡng tính

緑	Lục 
màu xanh lá cây

礼	Lễ 
lễ nghi

列	Liệt 
hàng lối

練	Luyện 
luyện tập

路	Lộ 
tiến lộ,
quốc lộ

和	Hoà 
hoà bình

愛	Ái 
ái tình

案	Án 
đề án

以	Dĩ
cái mốc

衣	Y
y phục

位	Vị
vị trí

囲	Vi 
phạm vi

胃	Vị
dạ dày

印	Ấn 
ấn tượng

英	Anh 
tiếng anh

栄	Vinh 
vinh quang

塩	Diêm 
muối

億	Ức 
100 triệu

加	Gia 
tham gia

果	Quả 
kết quả

貨	Hoá 
hàng hoá

課	Khoá 
niên khoá,
khoá học

芽	Nha 
mầm,
mạch nha

改	Cải 
cải cách

械	Giới 
cơ giới

害	Hại 
tổn hại

街	Nhai 
đường phố

各	Các 
các vị ,
các nước

覚	Giác 
nhớ ra

完	Hoàn 
hoàn thành

官	Quan 
quan lại

管	Quản 
quản lý

関	Quan 
liên quan

観	Quan 
quan sát

願	Nguyện 
ước nguyện

希	Hi 
hi vọng

季	Quý 
niên quý

紀	Kỉ 
thế kỉ

喜	Hỷ 
hạnh phúc

旗	Kỳ 
lá cờ,
quốc kỳ

器	Khí 
vũ khí

機	Cơ 
cơ khí

議	Nghị 
hội nghị

求	Cầu 
yêu cầu

泣	Khốc 
khóc

救	Cứu 
cấp cứu

給	Cấp 
cung cấp

挙	Cử 
tuyển cử

漁	Ngư 
ngư nghiệp

共	Cộng 
công cộng

協	Hiệp 
hiêp lực

鏡	Kính 
gương

競	Cạnh 
cạnh tranh

極	Cực 
cực đoan

訓	Huấn 
giáo huấn

軍	Quân 
quân đội

郡	Quận 
quận huyện

径	Kính
đường kính

型	Hình
địa hình

景	Cảnh 
quang cảnh

芸	Nghệ
nghệ thuật

欠	Khuyết
thiếu

結	Kết 
kết hôn

建	Kiến
xây dựng,
kiến trúc

健	Kiện
tráng kiện

験	Nghiệm
thực nghiệm

固	Cố 
kiên cố

功	Công 
thành công

好	Hảo 
thích

候	Hậu
khí hậu

航	Hàng
hàng hải

康	Khang
an khang

告	Cáo
quảng cáo

差	Sai
sai khác

菜	Thái 
rau

最	Tối
tối cao,
tối thiểu

材	Tài 
khí tài,
phế tài

昨	Tạc
hôm qua

札	Trát
tiền giấy

刷	Loát
in ấn

殺	Sát
giết,
sát nhân

察	Sát
cảnh sát

参	Tham
tham gia

産	Sản
sản nghiệp

散	Tản
tản bộ

残	Tàn
còn lại

士	Sĩ
nhân sĩ

氏	Thị
tên họ

史	Sử
lịch sử

司	Ty
quản lý

試	Thí
thí sinh,
thí nghiệm

児	Nhi
trẻ con,
nhi đồng

治	Trị
trị liệu,
chữa trị

辞	Từ
từ điển

失	Thất
thất bại

借	Tá
mượn

種	Chủng
chủng loại

周	Chu
chu vi

祝	Chúc
chúc mừng

順	Thuận
thuận lợi

初	Sơ
sơ lược

松	Tùng
cây thông

笑	Tiếu
cười,
tiếu lâm

唱	Xướng
ca xướng

焼	Thiêu 
thiêu đốt

象	Tượng
con voi,
hình tượng

照	Chiếu
phản chiếu

賞	Thưởng
tán thưởng

臣	Thần
đại thần

信	Tín
tín dụng

成	Thành
thành công

省	Tỉnh
tỉnh thành,
coi xét

清	Thanh
thanh khiết

静	Tĩnh
yên tĩnh

席	Tịch
chỗ ngồi

積	Tích
thành tích

折	Triết
bẻ, gập

節	Tiết
tiết kiệm

説	Thuyết 
tiểu thuyết,
thuyết minh

浅	Thiển
cạn

戦	Chiến 
chiến tranh

選	Tuyển 
tuyển chọn

然	Nhiên
tự nhiên,
ngẫu nhiên

争	Tranh
chiến tranh

倉	Thương
thương khố

巣	Sào
tổ chim

束	Thúc 
bó, buộc

側	Trắc
phía

続	Tục
liên tục

卒	Tốt
tốt nghiệp

孫	Tôn
cháu

帯	Đới
cái đai,
nhiệt đới

隊	Đội
quân đội

達	Đạt
hữu đạt
truyền đạt

単	Đơn
đơn giản

置	Trí
đặt để,
bố trí

仲	Trọng
trung gian

貯	Trữ
tích trữ

兆	Triệu
 1 nghìn tỷ

腸	Trường
ruột

低	Đê
thấp

底	Để 
cái đáy

停	Đình
dừng lại,
đình chiến

的	Đích
mục đích

典	Điển
từ điển

伝	Truyền
truyền tín

徒	Đồ
sinh đồ

努	Nỗ
nỗ lực

灯	Đăng
cái đèn

堂	Đường
võ đường,
thực đường

働	Động
lao động

特	Đặc
đặc biệt

得	Đắc
đắc ý

毒	Độc
độc dược

熱	Nhiệt
nóng

念	Niệm
kỉ niệm

敗	Bại
thất bại

梅	Mai
cây mai

博	Bác
bác học

飯	Phạn
cơm

飛	Phi
bay

費	Phí
tiêu phí

必	Tất
tất yếu

票	Phiếu
ngân phiếu,
bỏ phiếu

標	Tiêu 
chuẩn

不	Bất
không có,
bất nhân

夫	Phu
chồng

付	Phó
dính,
giao phó

府	Phủ
phủ huyện

副	Phó
phụ,
thứ 2

粉	Phấn 
bột, 
phấn hoa

兵	Binh
binh lính

別	Biệt
phân biệt

辺	Biên
biên giới

変	Biến
biến hóa

便	Tiện
tiện lợi

包	Bao
bao bọc

法	Pháp
phương pháp

望	Vọng
ước vọng

牧	Mục
mục sư

末	Mạt
cuối cùng

満	Mãn
trọn vẹn,
viên mãn

未	Vị
chưa đến

脈	Mạch
huyết mạch

民	Dân
dân chúng

無	Vô
vô lý

約	Ước
ước lượng

勇	Dũng
dũng khí

要	Yếu
tất yếu

養	Dưỡng
dinh dưỡng

浴	Dục
tắm

利	Lợi
tiện lợi

陸	Lục
châu lục

良	Lương
tốt

料	Liệu
nguyên liệu

量	Lượng
số lượng

輪	Luân
bánh xe

類	Loại
chủng loại

令	Lệnh
mệnh lệnh

冷	Lãnh
lạnh

例	Lệ
ví dụ

歴	Lịch
lý lịch

連	Liên
liên lạc

老	Lão
người già

労	Lao
lao động

録	Lục
kỷ lục,
đăng lục
