圧	Áp
mỹ thuật

準	Chuẩn
chuẩn bị

序	Tự
thứ tự;
tựa đề

招	Chiêu
mời, vẫy

承	Thừa
thừa nhận

証	Chứng
chứng minh

条	Điều 
điều kiện

状	Trạng
trạng thái

常	Thường
bình thường

情	Tình
tình cảm

織	Chức
dệt vải

職	Chức
chức vụ

制	Chế 
chế độ

性	Tính
tính cách

政	Chính
chính sách;
chính trị

勢	Thế
thế lực

精	Tinh
tinh luyện

製	Chế
chế tạo;
chế phẩm

税	Thuế
tiền thuế

責	Trách
trách nhiệm

績	Tích
thành tích

接	Tiếp 
tiếp xúc

設	Thiết 
thiết lập

舌	Thiệt
cái lưỡi

絶	Tuyệt
cự tuyệt;
tuyệt giao

銭	Tiền
tiền bạc

祖	Tổ 
tổ tiên

素	Tố 
nguyên tố;
yếu tố

総	Tổng
tổng hợp

造	Tạo
chế tạo

像	Tượng 
hình tượng

増	Tăng
tăng lên

則	Tắc
qui tắc

測	Trắc
đo lường

属	Thuộc
phụ thuộc

率	Suất
năng suất

損	Tổn
tổn hại,
hư tổn

退	Thoái
rút lui

貸	Thải
cho vay

態	Thái
trạng thái

団	Đoàn
đoàn thể

断	Đoạn
từ chối;
đoạn tuyệt

築	Trúc
kiến trúc

張	Trương
kéo dài

提	Đề
đề cử

程	Trình
trình độ

適	Thích
thích hợp;
thích đáng

敵	Địch
địch thủ

統	Thống
truyền thống

銅	Đồng
chất đồng

導	Đạo
chỉ đạo

徳	Đức
đạo đức

独	Độc
 độc thân;
cô độc

任	Nhiệm
trách nhiệm

燃	Nhiên
nhiên liệu

能	Năng
năng lực

破	Phá 
xé rách

犯	Phạm
tội phạm

判	Phán
phán đoán

版	Bản 
xuất bản

比	Tỷ 
so sánh

肥	Phì 
màu mỡ

非	Phi
phi thường

備	Bị
chuẩn bị

俵	Biếu
tặng

評	Bình
bình luận

貧	Bần
nghèo đói

布	Bố
vải

婦	Phụ
phụ nữ

富	Phú
phú quí

武	Vũ 
vũ khí

復	Phục 
phục hồi

複	Phức 
phức tạp

仏	Phật
phật giáo

編	Biên 
biên tập

弁	Biện
biện luận

保	Bảo 
bảo đảm

墓	Mộ 
mộ phần

報	Báo 
báo cáo

豊	Phong 
phong phú

防	Phòng 
phòng chống

貿	Mậu 
mậu dịch

暴	Bạo 
bạo lực

務	Vụ 
sự vụ

夢	Mộng 
giấc mơ

迷	Mê 
lạc;
mê cung

綿	Miên 
bông vải

輸	Thâu 
nhập khẩu

余	Dư 
dư thừa

預	Dự 
gửi

容	Dung 
bao dung

略	Lược
chiến lược;
sơ lược

留	Lưu 
lưu lại; 
lưu trú

領	Lãnh 
lãnh đạo

異	Dị 
khác thường

遺	Di 
di chúc

域	Vực 
khu vực

宇	Vũ 
vũ trụ

映	Ánh 
phản ánh

延	Duyên 
kéo dài

沿	Duyên 
dọc theo;
men theo

我	Ngã 
bản thân
bản ngã

灰	Hôi
tro

拡	Khuếch
khuếch tán

革	Cách 
cải cách

閣	Các 
nội các

割	Cát 
vỡ

株	Chu 
cổ phần

干	Can
khô

巻	Quyển 
quyển sách

看	Khán
trông coi;
giữ gìn

簡	Giản
đơn giản

危	Nguy
nguy hiểm

机	Kỷ
cái bàn

揮	Huy 
chỉ huy

貴	Quý
quý tộc

疑	Nghi 
nghi vấn

吸	Hấp 
hấp thu

供	Cung 
cung cấp

胸	Hung 
ngực

郷	Hương 
quê hương

勤	Cần 
cần cù

筋	Cân 
bắp thịt

系	Hệ 
hệ thống

敬	Kính 
tôn kính

警	Cảnh 
cảnh sát

劇	Kịch 
vở kịch

激	Khích/ Kích 
cảm kích; khuyến khích

穴	Huyệt 
cái hố

絹	Quyên 
lụa

権	Quyền 
quyền lợi

憲	Hiến 
hiến pháp

源	Nguyên 
nguyên thủy

厳	Nghiêm 
nghiêm khắc

己	Kỉ 
bản thân

呼	Hô 
hô hấp

誤	Ngộ 
ngộ nhận

后	Hậu
hoàng hậu

孝	Hiếu 
hiếu thảo

皇	Hoàng
hoàng đế

紅	Hồng 
màu đỏ

降	Giáng 
rơi;
xuống xe

鋼	Cương 
 thép

刻	Khắc 
điêu khắc;
 thái

穀	Cốc 
ngũ cốc

骨	Cốt 
xương

困	Khốn 
khó khăn

砂	Sa
cát

座	Tọa 
ngồi

済	Tế 
kinh tế

裁	Tài 
phán xét

策	Sách 
sách lược

冊	Sách 
quyển sách

蚕	Tàm 
con tằm

至	Chí 
tột cùng

私	Tư 
tư nhân

姿	Tư 
tư thế

視	Thị 
thị sát

詞	Từ 
từ ngữ

誌	Chí
tạp chí

磁	Từ
từ trường

射	Xạ
bắn

捨	Xả 
vứt

尺	Xích
đơn vị đo - thước

若	Nhược
trẻ

樹	Thụ 
cổ thụ

収	Thu
thu nhập

宗	Tông
tôn giáo

就	Tựu
thành tựu

衆	Chúng 
quần chúng

従	Tòng 
làm theo

縦	Tung 
trục tung

縮	Súc
co lại

熟	Thục
thành thục

純	Thuần 
đơn thuần

処	Xử
xử lý

署	Thự
chức vụ

諸	Chư 
 chư hầu;
 chư quốc

除	Trừ
trừ bỏ

将	Tương
tương lai

傷	Thương
vết thương

障	Chướng
chướng ngại

城	Thành
thành lũy

蒸	Chưng
chưng cất;
hấp

針	Châm
cái kim;
phương châm

仁	Nhân
nhân nghĩa

垂	Thùy
rủ xuống

推	Suy
suy tính

寸	Thốn 
đơn vị đo

盛	Thịnh
thịnh vượng

聖	Thánh
thần thánh

誠	Thành
thành thực

宣	Tuyên
tuyên truyền

専	Chuyên
chuyên môn

泉	Tuyền
dòng sông

洗	Tiển
tẩy rửa

染	Nhiễm
truyền nhiễm

善	Thiện
từ thiện

奏	Tấu
 diễn tấu

窓	Song 
cửa sổ

創	Sáng
sáng tạo

装	Trang
trang phục

層	Tằng
tầng nhà

操	Thao
thao tác

蔵	Tàng
tàng trữ

臓	Tạng
nội tạng

存	Tồn
tồn tại

尊	Tôn 
tôn kính

宅	Trạch 
nhà riêng

担	Đảm 
đảm nhận

探	Thám
tìm kiếm

誕	Đản
sinh ra

段	Đoạn
 giai đoạn

暖	Noãn
ấm

値	Trị
giá trị

宙	Trụ
vũ trụ

忠	Trung
trung thực

著	Trứ
 trứ danh

庁	Sảnh 
đại sảnh

頂	Đỉnh
đỉnh cao

潮	Triều
thủy triều

賃	Nhâm
thuê

痛	Thống
đau

展	Triển 
phát triển

討	Thảo 
thảo luận

党	Đảng 
đảng phái

糖	Đường
chất đường

届	Giới
vươn tới

難	Nan
gian nan

乳	Nhũ 
sữa

認	Nhận
xác nhận

納	Nạp
nộp

脳	Não
bộ não

派	Phái
đảng phái

拝	Bái
khấn bái

背	Bối
cái lưng

肺	Phế
phổi

俳	Bài
nghệ sĩ

班	Ban
nhóm

晩	Vãn
buổi tối

否	Phủ
phủ nhận

批	Phê
 phê bình

秘	Bí
bí mật

腹	Phúc
cái bụng

奮	Phấn 
hưng phấn

並	Tịnh 
 xếp hàng

陛	Bệ
bệ hạ

閉	Bế
đóng

片	Phiến
một mảnh

補	Bổ
bổ sung

暮	Mộ
trời tối

宝	Bảo
quý hiếm

訪	Phỏng
viếng thăm

亡	Vong
tử vong

忘	Vong
quên

棒	Bổng
cái gậy

枚	Mai
đêm tờ giấy

幕	Mạc
cái rèm;
khai mạc

密	Mật
bí mật

盟	Minh
đồng minh

模	Mô 
mô hình

訳	Dịch
phiên dịch

郵	Bưu 
bưu cục

優	Ưu
ưu tú

幼	Ấu
ấu thơ

欲	Dục
dục vọng

翌	Dực 
ngày mai

乱	Loạn 
rối loạn

卵	Noãn 
trứng

覧	Lãm
triển lãm

裏	Lý
mặt trái

律	Luật
luật pháp

臨	Lâm
lâm thời

朗	Lãng
chiếu sáng

論	Luận
thảo luận
