握	Ác
訴	Tố
tố cáo

僧	Tăng 
tăng lữ

燥	Táo
khô ráo

騒	Tào
ồn ào

贈	Tặng 
tặng quà

即	Tức 
tức khắc

俗	Tục 
phong tục

耐	Nại 
nhẫn nại

替	Thế
thay thế

沢	Trạch 
đầm lầy

拓	Thác 
khai thác

濁	Trọc 
vẩn đục

脱	Thoát 
cởi bỏ

丹	Đan 
viên thuốc

淡	Đạm 
thanh đạm

嘆	Thán 
ca thán

端	Đoan 
cực đoan

弾	Đạn 
viên đạn

恥	Sỉ 
xấu hổ

致	Trí 
nhất trí

遅	Trì 
muộn

蓄	Súc 
gia súc

沖	Trùng 
rộng lớn,trống trải

跳	Khiêu 
khiêu vũ, nhảy lên

徴	Trưng 
đặc trưng

澄	Trừng 
làm sạch, thanh trừng

沈	Trầm 
trầm tĩnh

珍	Trân 
quí hiếm

抵	Đề 
đề kháng

堤	Đê 
con đê

摘	Trích 
hái, trích xuất

滴	Trích 
nhỏ giọt

添	Thiêm 
thêm vào

殿	Điện 
cung điện

吐	Thổ 
thổ ra

途	Đồ 
đường

渡	Độ 
vượt qua

奴	Nô 
nô dịch, nô lệ

怒	Nộ
tức giận,phẫn nộ

到	Đáo
đến nơi

逃	Đào
chạy trốn, đào tẩu

倒	Đảo 
bị đổ

唐	Đường
nước Đường

桃	Đào 
cây đào

透	Thấu 
trong suốt

盗	Đạo 
đạo tặc

塔	Tháp 
cái tháp

稲	Đạo 
bông lúa

踏	Đạp
dẫm lên

闘	Đấu 
chiến đấu

胴	Đỗng 
cơ thể

峠	Đèo 
núi đèo

突	Đột 
đột nhiên

鈍	Độn 
cùn

曇	Đàm 
trời mây

弐	Nhị 
số 2

悩	Não 
phiền não

濃	Nồng 
nồng ấm

杯	Bôi 
chén

輩	Bối 
tiền bối

拍	Phách 
vỗ tay

泊	Bạc 
trọ lại

迫	Bách 
bức bách

薄	Bạc 
nhạt

爆	Bộc 
bộc phát

髪	Phát 
tóc

抜	Bạt
rút ra

罰	Phạt 
hình phạt

般	Ban 
bình thường

販	Phiến 
buôn bán

搬	Ban 
vận chuyển

範	Phạm 
phạm vi

繁	Phồn 
phồn thịnh

盤	Bàn
địa bàn

彼	Bỉ 
anh ta

疲	Bì 
mệt mỏi

被	Bị 
bị hại

避	Tỵ 
tỵ nạn

尾	Vĩ 
cái đuôi

微	Vi 
nhỏ,hiển vi

匹	Thất 
đếm con vật

描	Miêu 
miêu tả

浜	Tân 
bãi biển

敏	Mẫn 
mẫn cảm

怖	Bố 
khủng bố

浮	Phù 
nổi lên

普	Phổ 
phổ biến

腐	Hủ
cổ hủ

敷	Phu
trải lát

膚	Phu 
da

賦	Phú
phú quý

舞	Vũ
nhảy, khiêu vũ

幅	Phúc 
chiều dày

払	Phất
trả tiền

噴	Phún
phun

柄	Bính
cái chuôi

壁	Bích 
bức tường

捕	Bổ 
bắt

舗	Phố 
phố xá

抱	Bão
ôm

峰	Phong
núi cao

砲	Pháo
khẩu pháo

忙	Mang
bận rộn

坊	Phường
phố phường

肪	Phương 
mỡ

冒	Mạo
mạo hiểm

傍	Bàng 
bên cạnh

帽	Mạo
mũ

凡	Phàm
tầm thường

盆	Bồn
cái khay

慢	Mạn
từ từ

漫	Mạn
lãng mạn

妙	Diệu
huyền diệu

眠	Miên
ngủ,nhắm mắt

矛	Mâu
mâu thuẫn

霧	Vụ
sương mù

娘	Nương
con gái

茂	Mậu
bụi cây

猛	Mãnh
mãnh liệt

網	Võng
cái lưới

黙	Mặc
tĩnh mịch

紋	Văn
hoa văn

躍	Dược
nhảy

雄	Hùng
 giống đực

与	Dự
ban cho

誉	Dự
danh dự

溶	Dục
tắm

腰	Yêu
cái eo

踊	Dũng
nhảy múa

謡	Dao
ca dao

翼	Dực
cái cánh

雷	Lôi
sấm sét

頼	Lại
ỷ lại, yêu cầu

絡	Lạc
buộc

欄	Lan 
lan can

離	Li
rời khỏi

粒	Lạp
hạt nhỏ

慮	Lự
lưỡng tự

療	Liệu
trị liệu

隣	Lân
lân cận

涙	Lệ
nước mắt

隷	Lệ
nô lệ

齢	Linh
tuổi

麗	Lệ
đẹp,diễm lệ

暦	Lịch
quyển lịch

劣	Liệt
yếu kém

烈	Liệt
mãnh liệt

恋	Luyến
tình yêu,luyến ái

露	Lộ 
sương mù

郎	Lang
con trai

惑	Hoặc 
mê hoặc

腕	Oản 
cái tay

哀	Ai 
bi ai

慰	Úy
an ủi

詠	Vịnh
làm thơ

悦	Duyệt
mãn nguyện

閲	Duyệt 
kiểm duyệt

炎	Viêm
cháy lớn,
bệnh viêm

宴	Yến
yến tiệc

欧	Âu
châu Âu

殴	Ẩu
ẩu đả

乙	Ất
can thứ 2

卸	Tá
bán sỉ

穏	Ổn
yên ổn

佳	Giai
 giai nhân

架	Giá
giá treo

華	Hoa
hoa mĩ

嫁	Giá 
lấy chồng

餓	Ngạ
đói

怪	Quái
ma quái

悔	Hối
hối hận

塊	Khối
tảng lớn, khối đá

慨	Khái
 hối tiếc

該	Cai
bao quát

概	Khái
khái niệm

郭	Quách
thành quách

隔	Cách
ngăn cách

穫	Hoạch
thu hoạch

岳	Nhạc
núi cao

掛	Quải
treo

滑	Hoạt
trơn trượt

肝	Can
gan

冠	Quán
đứng đầu

勘	Khám
trực giác

貫	Quán
nhất quán

喚	Hoán
hô hoán

換	Hoán
hoán đổi

敢	Cảm 
dũng cảm

緩	Hoãn
chậm rãi

企	Xí
xí nghiệp

岐	Kì 
phân nhánh

忌	Kị
đố kị

軌	Qũy
quỹ đạo

既	Kí
đã

棋	Kì
quân cờ

棄	Khí
quên, bỏ

騎	Kị 
cưỡi ngựa

欺	Khi
Lừa dối

犠	Hi
hi sinh

菊	Cúc
hoa cúc

吉	Cát
tốt lành

喫	Khiết
ăn uống

虐	Ngược 
ngược đãi

虚	Hư
hư không

峡	Hạp
Hẻm núi

脅	Hiếp
đe dọa

凝	Ngưng
đóng băng

斤	Cân
đơn vị đếm

緊	Khẩn
khẩn cấp

愚	Ngu
ngu ngốc

偶	Ngẫu
ngẫu nhiên

遇	Ngộ
đãi ngộ

刑	Hình
hình phạt

契	Khiết
hợp đồng

啓	Khải
làm sáng tỏ

掲	Yết
niêm yết

携	Huề
đi cùng

憩	Khế
nghỉ ngơi

鶏	Kê
gà

鯨	Kình
cá voi

倹	Kiệm
tiết kiệm

賢	Hiền
khôn ngoan

幻	Ảo
huyền ảo

孤	Cô
cô lập

弧	Hồ
vòng cung

雇	Cố
thuê

顧	Cố
quay lại

娯	Ngu
vui vẻ

悟	Ngộ
ngộ ra

孔	Khổng
Khổng Tử

巧	Xảo
tinh xảo

甲	Giáp
thiết giáp

坑	Khanh
cái hố

拘	Câu
câu nệ

郊	Giao
ngoại ô

控	Khống
khống chế

慌	Hoảng
khủng hoảng

硬	Ngạnh
ương ngạnh

絞	Giảo
vắt, thắt

綱	Cương
dây thừng

酵	Giếu
lên men

克	Khắc
khắc phục

獄	Ngục 
tù ngục

恨	Hận
hận thù

紺	Cám
xanh sẫm

魂	Hồn
linh hồn

墾	Khẩn
khai khẩn

債	Trái
khoản nợ

催	Thôi 
thôi thúc

削	Tước
bóc vỏ

搾	Trá
ép

錯	Thác 
lẫn lộn, thác loạn

撮	Toát
chụp ảnh

擦	Sát
 ma sát

暫	Tạm
tạm thời

祉	Chỉ
phúc lợi

施	Thi 
thực thi

諮	Tư
hỏi

侍	Thị
người hầu

慈	Từ 
nhân từ

軸	Trục 
trục xe

疾	Tật 
bệnh tật

湿	Thấp
độ ẩm

赦	Xá
xá tội

邪	Tà
yêu tà

殊	Thù
đặc thù

寿	Thọ
tuổi thọ

潤	Nhuận
lợi nhuận

遵	Tuân 
tuân theo

如	Như
ví như

徐	Từ
từ từ

匠	Tượng 
thợ

昇	Thăng
thăng chức

掌	Chưởng 
lòng bàn tay

晶	Tinh
kết tinh

焦	Tiêu
tiêu điểm

衝	Xung
xung đột

鐘	Chung
chuông

冗	Nhũng
thừa

嬢	Nương
cô gái

錠	Đĩnh
cái khóa

譲	Nhượng 
nhượng bộ, nhường cho

嘱	Chúc 
giao phó

辱	Nhục 
lăng nhục

伸	Thân
căng ra, duỗi ra

辛	Tân
cay

審	Thẩm
thẩm vấn

炊	Xúy
đun, nấu

粋	Túy
tinh túy

衰	Suy
suy nhược

酔	Túy
say

遂	Toại
toại nguyện

穂	Tuệ
bông lúa

随	Tùy 
tùy tùng

髄	Tủy 
xương tủy

瀬	Lại 
nông, cạn

牲	Sinh
hi sinh

婿	Tế
chú rể

請	Thỉnh
thỉnh cầu

斥	Xích 
đuổi, gạt ra

隻	Chích 
đơn vị đếm tàu

惜	Tiếc
nuối tiếc

籍	Tịch 
quốc tịch

摂	Nhiếp
nhiếp chính

潜	Tiềm
tiềm ẩn

繕	Thiện 
sửa, chữa

阻	Trở
cản trở

措	Thố
trừ ra

粗	Thô
thô thiển

礎	Sở
cơ sở

双	Song 
song phương , đôi

桑	Tang
cây dâu

掃	Tảo
quét dọn

葬	Táng
an táng

遭	Tao
bắt gặp

憎	Tăng
ghét

促	Xúc
xúc tiến

賊	Tặc 
côn đồ, hung ác

怠	Đãi
lười

胎	Thai 
phôi thai

袋	Đại 
túi

逮	Đãi 
 đuổi, bắt

滞	Trệ 
đình trệ

滝	Lang
thác nước

択	Trạch 
lựa chọn

卓	Trác
cái bàn

託	Thác
ủy thác

諾	Nặc
đồng ý

奪	Đoạt
cướp đoạt

胆	Đảm
can đảm

鍛	Đoán
rèn luyện

壇	Đàn 
bệ, bục

稚	Trĩ
thơ bé

畜	Súc 
 gia súc

窒	Thất
phòng

抽	Trừu
trừu tượng

鋳	Chú 
đúc

駐	Trú 
cư trú

彫	Điêu 
điêu khắc

超	Siêu 
siêu phàm

聴	Thính 
thính giác

陳	Trần
trần thuật

鎮	Trấn 
trấn áp

墜	Trụy 
trụy lạc

帝	Đế
thượng đế

訂	Đính
đinh chính

締	Đế 
ràng buộc

哲	Triết
triết học

斗	Đấu 
bộ đấu

塗	Đồ 
sơn

凍	Đông
đông lạnh

陶	Đào
đồ sành sứ

痘	Đậu
đậu mùa

匿	Nặc
nặc danh

篤	Đốc
đứng đắn, tận tâm

豚	Đồn
con lợn

尿	Niệu
nước tiểu

粘	Niêm
dính

婆	Bà
bà già

排	Bài 
bài trừ

陪	Bồi
bồi thẩm đoàn

縛	Phược
buộc

伐	Phạt
 đánh

帆	Phàm 
thuyền buồm

伴	Bạn
bạn, tiếp

畔	Bạn
bờ ruộng

藩	Phiên 
phiên chủ

蛮	Man
man rợ

卑	Ti
ti tiện, thấp hèn

碑	Bi 
bia

泌	Bí 
tiết ra

姫	Cơ
công chúa

漂	Phiêu
nổi, phiêu lưu

苗	Miêu
cây non

赴	Phó
tới

符	Phù 
phù hiệu

封	Phong
niêm phong

伏	Phục 
phục kích

覆	Phúc 
bao phủ

紛	Phân 
lộn xộn

墳	Phần 
mộ phần

癖	Phích
thói hư

募	Mộ
chiêu mộ

慕	Mộ 
hâm mộ

簿	Bộ
sách

芳	Phương 
cỏ thơm

邦	Bang
quốc gia

奉	Bổng/Phụng
cung phụng, kính biếu

胞	Bào 
tế bào

倣	Phỏng
mô phỏng

崩	Băng
phá hủy

飽	Bão
no bụng

縫	Phùng
khâu

乏	Phạp
khốn cùng

妨	Phương
phương hại

房	Phòng
buồng

某	Mỗ
anh ta

膨	Bành
bành trướng

謀	Mưu
 âm mưu

墨	Mặc 
mực đen

没	Một
chìm, chết

翻	Phiên
phiên dịch

魔	Ma 
ma quỷ

埋	Mai
chôn

膜	Mô
màng

又	Hựu
lại

魅	Mị
bùa mê

滅	Diệt
bất diệt

免	Miễn 
miễn giảm

幽	U 
u sầu

誘	Dụ
mời

憂	Ưu
buồn rầu

揚	Dương
tuyên dương

揺	Dao
dao động

擁	Ủng
ủng hộ

抑	Ức 
đè nén

裸	Khỏa
khỏa thân

濫	Lạm
tràn lan, lạm dụng

吏	Lại
quan lại

隆	Long 
hưng thịnh

了	Liễu 
sự kết thúc

猟	Liệp
săn bắn

陵	Lăng 
lăng tẩm

糧	Lương
lương thực

厘	Li
nhỏ, một chút

励	Lệ
khích lệ

零	Linh 
âm độ

霊	Linh
linh hồn

裂	Liệt
xé ra

廉	Liêm 
liêm khiết

錬	Luyện
rèn luyện

炉	Lô 
lò

浪	Lãng
phóng túng, lãng mạn

廊	Lang
hành lang

楼	Lâu
lâu đài

漏	Lậu
lỗ thủng, rò rỉ

湾	Loan
vịnh
